Territorial emissions in MtCO₂,,,,,,
,Brazil,China,Egypt,India,United Kingdom,United States of America
1960,46.8518,798.7999,16.0327,111.3251,584.02,2897.3153
1961,49.136,570.6302,17.0659,120.4043,588.6148,2886.8727
1962,53.6132,459.6181,18.5711,132.5815,592.9315,2993.902
1963,55.523,456.7794,21.5269,142.4441,603.3857,3126.4875
1964,56.6263,460.6371,25.4912,139.4883,607.866,3264.3138
1965,56.2792,500.2864,27.6095,153.7019,622.1116,3399.5468
1966,64.1624,549.4593,26.5322,159.3734,618.0747,3571.4213
1967,66.0326,460.2259,19.6499,159.5558,592.057,3705.461
1968,77.2241,495.5066,22.8726,174.0693,606.4883,3840.9196
1969,84.0884,607.6834,19.6648,177.4134,628.3825,4035.1453
1970,93.4882,807.9526,21.654,181.7226,652.5774,4339.686
1971,102.3371,909.2097,23.0124,191.9637,660.3882,4365.4653
1972,114.0188,968.6456,25.475,203.036,648.0263,4573.0154
1973,132.0608,1008.2926,23.7611,209.095,659.5771,4785.103
1974,143.0157,1028.0999,26.0891,215.8532,617.1836,4621.0998
1975,150.3266,1183.215,31.0599,234.2091,603.247,4478.2749
1976,154.607,1226.4213,34.4504,244.7494,598.526,4747.8174
1977,162.3634,1340.8311,37.8151,258.9617,604.3617,4889.6653
1978,177.1172,1492.7778,39.261,263.1496,604.7135,4941.4227
1979,187.7872,1525.6611,42.8895,276.2847,644.5128,5008.6418
1980,186.1907,1494.4959,45.176,291.7111,579.0354,4808.5564
1981,171.3244,1476.4879,50.9027,314.9662,560.5545,4686.4202
1982,171.4997,1606.585,56.4312,325.38,548.2404,4447.2979
1983,165.8998,1694.2168,56.9805,352.1988,545.4851,4429.4231
1984,167.5675,1844.828,63.7043,361.5594,529.1082,4662.1745
1985,180.1107,1998.0829,63.8072,397.5921,559.6273,4652.633
1986,197.2384,2104.2134,74.3929,426.3094,568.554,4663.4296
1987,205.9677,2257.7385,74.6135,455.3431,571.6676,4825.7117
1988,207.6953,2425.8936,74.3095,491.6922,570.2937,5050.5434
1989,212.0711,2463.6544,71.9046,540.651,581.5761,5132.2063
1990,218.658,2484.8548,75.2175,577.996,601.9451,5120.9572
1991,229.394,2606.0962,77.2958,615.365,609.4127,5062.9567
1992,233.601,2730.7876,79.9399,655.447,593.8459,5174.2275
1993,244.306,2921.651,92.278,677.2992,579.6125,5272.8508
1994,254.002,3103.7387,88.3727,714.0637,574.0169,5364.2793
1995,268.678,3361.6372,98.9945,760.4616,566.159,5425.2597
1996,289.311,3508.8181,97.9509,823.6206,586.7607,5612.9828
1997,306.949,3515.5942,111.7049,858.0112,562.7081,5688.1425
1998,317.359,3364.5876,125.0257,875.7723,568.5437,5733.2806
1999,327.256,3557.2746,128.2211,950.4598,561.6496,5803.9178
2000,340.183,3649.2009,143.836,977.5264,569.0337,6010.1359
2001,346.166,3728.5135,127.6565,990.9695,577.9706,5907.7399
2002,347.765,4103.0427,129.155,1021.6644,560.2732,5946.3081
2003,344.645,4841.1187,149.9194,1059.1595,571.6188,6010.1455
2004,361.434,5217.3509,152.5757,1125.0963,573.4298,6112.6546
2005,364.371,5882.1429,168.2168,1185.6742,570.3384,6132.1833
2006,368.871,6494.3381,179.1941,1292.4846,567.8457,6052.6862
2007,390.573,6983.5767,188.805,1392.506,559.5665,6130.1228
2008,412.638,7501.4978,197.7277,1489.4375,544.9324,5915.1185
2009,389.775,7891.0893,206.4779,1612.2163,494.1077,5480.7257
2010,440.269,8620.6268,203.6076,1677.3372,511.9046,5679.7152
2011,462.58,9532.4091,216.9173,1764.7124,469.7133,5546.1161
2012,498.309,9779.3544,213.7335,1925.6997,487.4768,5344.086
2013,532.418,9956.3762,211.4189,1995.0981,477.6113,5480.1565
2014,557.901,9998.674,226.8993,2148.3437,438.8071,5528.6811
2015,529.353,9866.9514,224.4797,2234.2195,422.4608,5376.4731
2016,492.748,9765.0295,239.3856,2354.658,399.4301,5252.9322
2017,497.1214,10011.1517,260.1106,2426.6069,387.3671,5212.1623
2018,477.9986,10353.9345,243.9079,2593.0579,379.7298,5377.7974
2019,473.4644,10721.042,256.1402,2612.888,364.7533,5262.1451
2020,444.5043,10914.0122,227.638,2421.5523,326.2632,4714.628
2021,497.2063,11336.2339,246.8844,2674.2219,347.4651,5032.2128
2022,483.4773,11396.7774,258.9517,2829.6442,318.6544,5057.3038
,,,,,,
SOURCES,,,,,,
Territorial,"<b>For sources and methods, see Andrew and Peters (2023), Friedlingstein et al. (2023), and Peters et al. (2011)..</b><br /><br /><br />Friedlingstein, P., O'Sullivan, M., Jones, M. W., Andrew, R. M., Bakker, D. C. E., Hauck, J., Landschützer, P., Le Quéré, C., Luijkx, I. T., Peters, G. P., Peters, W., Pongratz, J., Schwingshackl, C., Sitch, S., Canadell, J. G., Ciais, P., Jackson, R. B., Alin, S. R., Anthoni, P., Barbero, L., Bates, N. R., Becker, M., Bellouin, N., Decharme, B., Bopp, L., Brasika, I. B. M., Cadule, P., Chamberlain, M. A., Chandra, N., Chau, T.-T.-T., Chevallier, F., Chini, L. P., Cronin, M., Dou, X., Enyo, K., Evans, W., Falk, S., Feely, R. A., Feng, L., Ford, D. J., Gasser, T., Ghattas, J., Gkritzalis, T., Grassi, G., Gregor, L., Gruber, N., Gürses, Ö., Harris, I., Hefner, M., Heinke, J., Houghton, R. A., Hurtt, G. C., Iida, Y., Ilyina, T., Jacobson, A. R., Jain, A., Jarníková, T., Jersild, A., Jiang, F., Jin, Z., Joos, F., Kato, E., Keeling, R. F., Kennedy, D., Klein Goldewijk, K., Knauer, J., Korsbakken, J. I., Körtzinger, A., Lan, X., Lefèvre, N., Li, H., Liu, J., Liu, Z., Ma, L., Marland, G., Mayot, N., McGuire, P. C., McKinley, G. A., Meyer, G., Morgan, E. J., Munro, D. R., Nakaoka, S.-I., Niwa, Y., O'Brien, K. M., Olsen, A., Omar, A. M., Ono, T., Paulsen, M. E., Pierrot, D., Pocock, K., Poulter, B., Powis, C. M., Rehder, G., Resplandy, L., Robertson, E., Rödenbeck, C., Rosan, T. M., Schwinger, J., Séférian, R., Smallman, T. L., Smith, S. M., Sospedra-Alfonso, R., Sun, Q., Sutton, A. J., Sweeney, C., Takao, S., Tans, P. P., Tian, H., Tilbrook, B., Tsujino, H., Tubiello, F., van der Werf, G. R., van Ooijen, E., Wanninkhof, R., Watanabe, M., Wimart-Rousseau, C., Yang, D., Yang, X., Yuan, W., Yue, X., Zaehle, S., Zeng, J., and Zheng, B.: Global Carbon Budget 2023, Earth Syst. Sci. Data Discuss. Available at: <a href=""https://doi.org/10.5194/essd-2023-409"" target=""_blank""> https://doi.org/10.5194/essd-2023-409</a><br /><br />Andrew, R.M. and Peters, G.P. (2023): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. Available at: <a href=""https://zenodo.org/doi/10.5281/zenodo.5569234"" target=""_blank"">Andrew and Peters, 2023.</a><br /><br />Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a><br /><br />The use of data is conditional on citing the original data sources. <br /><br />Data for years 2021 and 2022 are preliminary.<br /><br />",,,,,
